trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
36,0.0728186397434343,0.0008015069567851,1.8943001824252783e-06,123,0.3616012470551957,adamw,0.9068079656709868
37,0.0753551902117415,0.0003234713773993,1.5770217470737422e-06,137,0.3572909837864039,adamw,0.9178375758291965
38,0.083148833511626,0.0003415254485792,1.8053659698276363e-06,141,0.3554144194479254,adamw,0.9185300418388328
39,0.0761650512456123,0.0003254946422323,1.7198918331723671e-06,137,0.3589760174487166,adamw,0.918785030055943
40,0.1503410652576495,0.0002870132315169,1.5771889701971712e-06,157,0.3554285095140033,adamw,0.9187769137411784
41,1.0665642074232482,0.0007718684316117,1.908368531774788e-06,144,0.3013411236117995,adam,0.929805095341812
42,0.1574420823104132,0.0003442966402624,1.6956989611612197e-06,97,0.3458197072298034,adamw,0.920119739510562
43,0.0878308802103434,0.0010934895335202,4.6383498390849966e-06,138,0.3753183829228319,adamw,0.9051094438894872
44,0.0923190481591544,0.0013464032876982,4.430596306176558e-06,140,0.3754844157378064,adamw,0.9051247229893356
45,0.0941535452055774,0.0012866102950425,6.13001175089141e-06,140,0.3786857693609786,adamw,0.9044615108881432
46,1.075126164597784,0.0020934613165475,4.197060827390969e-06,123,0.3681114656231842,sgd,0.9770871336892516
47,0.1621247101285069,0.0006961043699315,1.389989396501391e-06,162,0.3155523909409675,adamw,0.9565654214336936
48,0.091811966875503,0.001068450472415,6.046117163872704e-06,139,0.3786736166154004,adamw,0.9048637484291214
49,0.084932738615537,0.001018953627027,4.168475823134034e-06,141,0.35690917562655,adamw,0.905118828944652
50,0.0735075696932342,0.0010372365997719,7.791235252821776e-06,136,0.3543337542657234,adamw,0.9009493591162906
51,0.0371160006686172,0.0003563796433971,1.1064559547624171e-06,122,0.2761550437971213,adamw,0.9003654444094944
52,0.0365818064900692,0.000355522646656,1.0288209876360478e-06,123,0.2783303135689502,adamw,0.9024785773535142
53,0.035254521808041,0.0003454673230838,1.10093032116129e-06,122,0.2708538116004403,adamw,0.9005876200237223
54,0.0364623044254029,0.0003083736184774,1.034495730005236e-06,123,0.2773634660389185,adamw,0.9001778662100253
55,0.0348878403249923,0.0002589379681856,1.012444222489128e-06,123,0.2728225236351658,adamw,0.9000251163923859
56,0.0364789861666301,0.0002385137444203,1.0115701209913657e-06,121,0.2704711381805848,adamw,0.9000434541503234
57,1.027622989844042,0.0002353271822692,1.0585888870738218e-06,125,0.2559820754928552,sgd,0.9013211450484788
58,0.0369632661140377,0.0002752119811691,1.0202870347146207e-06,122,0.2757534569883356,adamw,0.9004882249549648
59,0.1017220464576464,0.0002449137243219,1.0228438702547169e-06,102,0.2778537686998235,adamw,0.9003288454611262
60,0.0191487513338567,0.0003370853782,1.2939778856548983e-06,125,0.2255081178984417,adamw,0.9002559330675411
61,0.0152935904836533,0.0005735348376447,1.013607212494217e-06,126,0.2117997871817816,adamw,0.9012705890810496
62,0.0197169851104913,0.0005635889059517,1.03729165754498e-06,126,0.2296089149059045,adamw,0.900014166204557
63,0.0154129762492139,0.0005628732578808,1.036009456148037e-06,125,0.2096810484132965,adamw,0.9003703031503867
64,0.0160729872788136,0.0005508425075242,1.0690033488556743e-06,129,0.2162422468764167,adamw,0.9005967269768124
65,0.0189714596832398,0.0006165662961623,1.0565769599771105e-06,125,0.2249606173068442,adamw,0.9006356366398093
66,0.0174823814616568,0.0005589746877967,1.0398848455651929e-06,127,0.2219623857125295,adamw,0.9001242918251289
67,0.0580659435428275,0.0005734764761501,1.0156134302949838e-06,108,0.2247844214679896,adamw,0.9002511446784809
68,0.0077512935657405,0.0005652030951267,1.0373254422095955e-06,129,0.1734109794422249,adamw,0.9026480699893266
69,0.008481099357151,0.0005710812995453,1.30482328579389e-06,130,0.1764656055383738,adamw,0.9029442191748304
70,0.0077167230391671,0.0005317741562107,1.3559265237992209e-06,129,0.1735443200198986,adamw,0.9032266919720792
71,0.0072997876122106,0.0005749689591998,1.2937831893208348e-06,130,0.1687377377995446,adamw,0.9035771456413004
72,0.0092147964377928,0.0006031666682053,1.4240098656488109e-06,130,0.181432611229642,adamw,0.9034817719087532
73,0.0074907178583548,0.0006119133136918,1.3615554436932237e-06,131,0.1667509863553154,adamw,0.9040052205801308
74,0.0073645330782189,0.0005473579442079,1.391431664473771e-06,130,0.1691347496849558,adamw,0.9034721069417916
75,0.008835303324127,0.0005657031099727,1.3470182564866265e-06,132,0.1714449354253147,adamw,0.9040542397767268
76,0.00786442983674,0.0005875242007741,1.4155031078684154e-06,131,0.1694476742692273,adamw,0.9039377394589008
77,0.0072674907785074,0.0006075171309422,1.448135869395556e-06,131,0.1652301595535332,adamw,0.9042509606285346
78,0.0073067740942338,0.0005885450959333,1.4009019666153954e-06,131,0.1651599363401092,adamw,0.9037263870553036
79,0.008817183573385,0.0005936847853728,1.4402566662337255e-06,132,0.1716601841491091,adamw,0.9045870348302107
80,0.0081104723696069,0.0005344348517991,1.4616570966099115e-06,132,0.1660604758679061,adamw,0.9038882218393112
81,0.0063189965721942,0.0004922750951073,1.4112560491466714e-06,131,0.1634236460310512,adamw,0.9129072847884062
82,0.049876405565175,0.000451486092791,1.4950291550279884e-06,149,0.1664904644590977,adamw,0.9134693797586396
83,0.0079138610679778,0.0005985521326692,2.2608174318877954e-06,131,0.1696197688194135,adamw,0.9036607254061249
84,0.0074322738430142,0.000656148153542,2.2546783406017305e-06,131,0.1663347571352476,adamw,0.9040341753086848
